job_id,office,position_title,date,year,listing_type,umap_x,umap_y,cluster
MEM-415-24,Congresswoman Maxine Waters (CA-43),Communications Director,2024-10-14,2024,internship,12.452665,18.867678,-1
MEM-411-24,Congressman John Garamendi (CA-08),Communications Director,2024-10-14,2024,internship,12.852432,18.85309,-1
MEM-410-24,,Constituent Services Representative,2024-10-14,2024,internship,7.7958493,4.621121,-1
MEM-402-24,Congresswoman Jill Tokuda (HI-02),Constituent Advocate (District Office),2024-10-07,2024,internship,7.803231,4.6434507,-1
MEM-128-25,Congresswoman Nicole Malliotakis (NY-11),Intern (Full-Time & Part-Time),2025-04-07,2025,internship,5.8099327,5.318626,-1
MEM-455-24,Congresswoman Andrea Salinas (OR-06),Fall Intern,2024-10-28,2024,internship,8.887196,3.0191567,-1
MEM-454-24,Congressman Greg Casar (TX-35),Paid Spring Intern,2024-10-28,2024,internship,7.9165173,3.3826897,-1
MEM-450-24,Congressman Kevin Mullin (CA-15),Press Intern,2024-10-28,2024,internship,13.605218,19.371292,22
MEM-449-24,Representative Kevin Mullin (CA-15),Spring Intern,2024-10-28,2024,internship,5.8503594,3.3212962,-1
MEM-448-24,,Spring 2025 Intern,2024-10-28,2024,internship,8.158118,1.6111183,-1
MEM-446-24,Congresswoman Grace Meng (NY-06),Spring 2025 Intern,2024-10-28,2024,internship,6.506155,2.2547565,-1
MEM-445-24,Congressman Troy Balderson (OH-12),Paid Spring 2025 Intern,2024-10-28,2024,internship,6.7208896,0.8951876,-1
MEM-444-24,Congressman Glenn Grothman (WI-06),Spring 2025 Congressional Intern,2024-10-28,2024,internship,7.6323133,2.6475844,-1
MEM-443-24,Congressman Glenn Grothman (WI-06),Spring 2025 Congressional Intern,2024-10-21,2024,internship,7.6314306,2.6309032,-1
MEM-441-24,Congressman Jim Costa (CA-21),Digital/Press Intern,2024-10-21,2024,internship,12.513823,19.235666,21
MEM-440-24,Congressman Josh Harder (CA-9),Legislative Intern,2024-10-21,2024,internship,3.5646427,4.5948753,-1
MEM-439-24,Congresswoman Susan Wild (PA-07),Legislative Intern,2024-10-21,2024,internship,2.1127443,3.5490813,-1
MEM-437-24,Congressman Jim Costa (CA-21),Digital/Press Intern,2024-10-21,2024,internship,12.541279,19.233368,21
MEM-436-24,Congressman Matt Cartwright (PA-08),Legislative Intern,2024-10-21,2024,internship,3.2010643,3.540743,-1
MEM-435-24,,Legislative Intern,2024-10-21,2024,internship,8.998613,8.809224,28
MEM-434-24,Congressman Emanuel Cleaver (MO-5),Spring Intern,2024-10-21,2024,internship,4.066194,1.7024809,-1
MEM-433-24,Congressman Brad Schneider (IL-10),Press Internship,2024-10-21,2024,internship,12.49116,19.144386,-1
MEM-432-24,Congressman Brad Schneider (IL-10),Legislative Intern,2024-10-21,2024,internship,6.0275254,3.235476,-1
MEM-430-24,Congressman Ed Case (HI-01),Spring 2025 Intern,2024-10-21,2024,internship,6.590877,2.0643039,-1
MEM-429-24,,Digital Media And Traditional Press Intern,2024-10-21,2024,internship,11.265045,20.997374,15
MEM-428-24,Congresswoman Doris Matsui (CA-07),Spring 2025 Intern,2024-10-21,2024,internship,6.084675,3.0659523,-1
MEM-427-24,,Legal Intern,2024-10-21,2024,internship,8.997775,10.297393,-1
MEM-426-24,Congressman Tim Kennedy (NY-26),Press Fellow,2024-10-21,2024,internship,12.973941,19.87538,-1
MEM-423-24,Representative Donald Norcross (NJ-01),Spring 2025 Intern,2024-10-14,2024,internship,7.211115,1.8064891,-1
MEM-421-24,,Legislative Intern,2024-10-14,2024,internship,13.139731,8.305983,4
MEM-420-24,Congresswoman Rosa L. DeLauro (CT-03),Fall 2024 Intern,2024-10-14,2024,internship,6.1167583,5.5694075,-1
MEM-418-24,Congressman Rob Menendez (NJ-08),Spring 2024 Intern,2024-10-14,2024,internship,7.0352583,3.7064192,-1
MEM-417-24,Congressman Troy Nehls (TX-22),Legislative and Press Intern (Spring 2025),2024-10-14,2024,internship,6.068454,-0.60901815,-1
MEM-416-24,Congresswoman Summer Lee (PA-12),Congressional Intern,2024-10-14,2024,internship,7.5192804,2.2274547,-1
MEM-414-24,Congresswoman Sydney Kamlager-Dove (CA-37),Spring 2025 Intern,2024-10-14,2024,internship,7.929372,2.9079902,-1
MEM-413-24,,Communications Intern,2024-10-14,2024,internship,12.985956,18.945755,-1
MEM-412-24,Congresswoman Marilyn Strickland (WA-10),Legislative Intern,2024-10-14,2024,internship,8.073763,6.576212,-1
MEM-409-24,Congresswoman Suzan DelBene (WA-01),Intern,2024-10-14,2024,internship,7.6935506,1.8809474,34
MEM-407-24,Congressman Shri Thanedar (MI-13),Spring DC Fellowship,2024-10-07,2024,internship,8.004786,9.979957,-1
MEM-406-24,Congressman Shri Thanedar (MI-13),Spring DC Internship,2024-10-07,2024,internship,7.344457,2.9543567,-1
MEM-404-24,,Fern Holland International Affairs Fellowship,2024-10-07,2024,internship,7.7875,9.60625,-1
MEM-401-24,Congressman Kevin Kiley (CA-03),Fall 2024 Intern,2024-10-07,2024,internship,10.329788,1.0600338,36
MEM-400-24,Representative Brad Sherman (CA-32),Spring 2025 In-Person Intern,2024-10-07,2024,internship,7.5920486,3.3728702,-1
MEM-398-24,Congressman Mike Levin (CA-49),Legislative Intern,2024-10-07,2024,internship,10.0206995,1.3467873,-1
MEM-397-24,Congressman Tim Kennedy (NY-26),Intern,2024-10-07,2024,internship,6.4337244,2.7948227,-1
MEM-396-24,Congressman Kevin Hern (OK-01),Intern,2024-10-07,2024,internship,7.497037,4.342905,-1
MEM-394-24,Congressman Joseph Morelle (NY-25),Spring 2025 District Intern,2024-09-30,2024,internship,8.076445,5.4973073,-1
MEM-393-24,Congresswoman Kim Schrier (WA-08),Spring 2025 Intern,2024-09-30,2024,internship,7.4373875,3.5154366,34
MEM-391-24,Congressman Jim Baird (IN-4),Spring 2025 Intern,2024-09-30,2024,internship,7.363069,3.0964096,-1
MEM-390-24,,Intern,2024-09-30,2024,internship,7.525069,4.361454,33
MEM-384-24,Congressman Steve Cohen (TN-09),Spring 2025 Intern,2024-09-30,2024,internship,0.34575608,7.128013,12
MEM-461-24,Congresswoman Gwen Moore (WI-04),Spring 2025 Intern,2024-11-04,2024,internship,6.139875,3.6891673,-1
MEM-460-24,Representative Pramila Jayapal (WA-07),Spring 2025 Intern,2024-11-04,2024,internship,5.7972083,3.8740182,-1
MEM-479-24,,Spring 2025 Intern,2024-11-18,2024,internship,7.368917,3.749059,-1
MEM-465-24,Congressman Joaquin Castro (TX-20),DC Legislative Intern,2024-11-18,2024,internship,5.92908,3.2681677,-1
MEM-131-14,,Intern,2014-02-10,2014,internship,9.741919,7.727259,5
MEM-130-14,,Graduate or Legal Intern or Fellow (Labor Policy),2014-02-10,2014,internship,8.636528,9.865079,9
MEM-129-14,,Defense Fellow,2014-02-10,2014,internship,8.219157,10.122221,-1
MEM-128-14,Congressman Jim Bridenstine (OK-01),Intern,2014-02-10,2014,internship,6.217286,2.7457354,-1
MEM-135-14,Congressman Frank Pallone (NJ-06),Intern,2014-02-18,2014,internship,4.862609,1.6214077,-1
MEM-134-14,Congressman Buck McKeon (CA-25),Intern,2014-02-18,2014,internship,-0.31764466,2.0693817,7
MEM-133-14,Congressman John Garamendi (CA-03),Intern,2014-02-18,2014,internship,6.963043,-3.6447928,37
MEM-132-14,Congressman Mike McIntyre (NC-07),Intern,2014-02-18,2014,internship,6.4116073,4.7008653,-1
MEM-143-14,Congresswoman Zoe Lofgren (CA-19),Spring Semester Intern,2014-02-24,2014,internship,5.9208717,2.6988554,-1
MEM-142-14,Congressman Derek Kilmer (WA-06),Intern,2014-02-24,2014,internship,0.19650726,18.088556,-1
MEM-141-14,Congresswoman Louise M. Slaughter (NY-25),Press Intern,2014-02-24,2014,internship,13.980588,19.923656,19
MEM-140-14,Congresswoman Marcy Kaptur (OH-09),Part-Time Intern,2014-02-24,2014,internship,5.0330195,2.0774543,-1
MEM-139-14,Congressman Frank Pallone (NJ-06),Part-Time Intern,2014-02-24,2014,internship,4.872362,1.6283525,-1
MEM-138-14,Congressman Jerrold Nadler (NY-10),Unpaid Full-Time Intern,2014-02-24,2014,internship,6.7578363,4.469852,-1
MEM-137-14,,Spring Internship,2014-02-24,2014,internship,4.881179,0.93602866,-1
MEM-156-14,Congresswoman Suzan DelBene (WA-01),Intern,2014-03-10,2014,internship,7.6416483,1.7870458,34
MEM-155-14,Congresswoman Susan Davis (CA-53),Intern,2014-03-10,2014,internship,5.3808722,0.03259732,-1
MEM-154-14,,Graduate and Legal Intern and Fellow,2014-03-10,2014,internship,8.572768,9.826098,9
MEM-153-14,,Legislative Intern,2014-03-10,2014,internship,3.837556,5.550371,16
